HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD021952	checked with photo	Africa Proconsularis	Libyan Arab Jamahiriya	Lepcis Magna	Al Khums	{Forum Vetus, Roma-und-Augustustempel - Liber-Patertempel, zwischen}	202 AD	"AE 1950, 0156. (B)  <a href=""http://irt.kcl.ac.uk/irt2009/IRT412.html"">IRT 412; Foto</a>.  AE 1952, p. 36 s. n. 104.  S. Aurigemma, QAL 1, 1950, 59-66; pl. 18a. (B) - AE 1950.  J. Guey, MSAF 82, 1951, 161-167; pl. 7. - AE 1952."	Imp(eratoris) Caes(aris) L(uci) Septimi Se/veri Pii Pertinacis / Aug(usti) Arabici Adiabenici / Parthici max(imi) t(ribunicia) p(otestate) X imp(eratoris) / XI co(n)s(ulis) III p(atris) p(atriae) proco(n)s(ulis) / avo d(omini) n(ostri) / L(ucio) Septimio Severo sufeti prae//f(ecto)// publ(ice) creato cum primum ci/vitas Romana adacta est / du(u)mvir(o) fl(amini) p(er)p(etuo) in decuriis / et inter selectos Romae / iudicavit Lepc(i)t(ani) publ(ice)	10	https://godot.date/id/qT7qULXycVNzBaAEbsDqeN
HD022349	provisional	Germania superior	Germany	Mogontiacum	Mainz		204 AD	AE 1898, 0071.  AE 1996, 1113.  CIL 13, 06801; Zeichnung.  H. Lehner, KWDZ 17, 1898, 45, Nr. 25. - AE 1898.  O. Stoll, MAZ 2, 1995, 188. - AE 1996.  M.P. Speidel, JRGZ 33, 1986, 325-329, Nr. 4; Taf. 43, 1-3; Taf. 4 (Zeichnung).	[Imp(eratori) C]aes(ari) L(ucio) Septim[io Severo Pio Pertinaci Aug(usto) Arabico] / [Adiaben]ico Parth[ico max(imo) trib(unicia) pot(estate) XII imp(eratori) XI co(n)s(uli) III proco(n)s(uli) p(atri) p(atriae)] / [et Imp(eratori) Ca]es(ari) M(arco) Aurel[io Antonino Aug(usto) L(uci) Septimi Severi Aug(usti) n(ostri) filio trib(unicia) pot(estate) VII co(n)s(uli)] / [et [[L(ucio) Septimio Getae Caes(ari)]] L(uci) Septimi Severi Aug(usti) n(ostri) filio et Iuliae Domnae Aug(ustae) matri castrorum] / primi o[rdi]n[es et centuriones et evocatus leg(ionis) XXII Pr(imigeniae) p(iae) f(idelis)] / coh(ors) pri[ma] // Ammian(us) Urs[us] / [V]al(erius) Catul[us] / [Ca]lvis(ius) Pr[imus] / [--- Mate]rn(us)(?) / Val(erius) Alexand(er) / Val(erius) Alexand(er) / dedicatae Ci[lone et Libone co(n)s(ulibus) ---] // [------] / [------] / [F]lorent(inus) [---] / Volus(ius) Ver(us) / Iul(ius) Hispan(us) / [&	12	https://godot.date/id/B4JWbQLTstJivNaS7DSdtX
HD022787	checked with photo	Achaia	Greece	Delphi	Delphi		84 AD	AE 1897, 0091.  T. Homolle, BCH 20, 18967, 716-717. - AE 1897.  CIL 03, 14203, 24.  R. Flacelière, Fouilles de Delphes 3, 4, 2 (Paris 1954) 197, Nr. 120; pl. 21.	Imp(erator) [C]aesar di[vi Ves]pasiani f(ilius) [D]omitianus / Aug(ustus) [Germ]anic[u]s po[nt(ifex) max]im(us) tr[ib(unicia) po]test(ate) III p(ater) p(atriae) imp(erator) VII c(on)s(ul) X des(ignatus) [XI] / te[mplu]m Apo[llinis] sua im[p]ensa refecit	3	https://godot.date/id/hXtvxjWRwNez3yFHAQ9BhQ
HD022847	checked with photo	Venetia et Histria (Regio X)	Italy	Benacum	Toscolano	Campanile, sekundär verwendet	195 AD	G. Alföldy, Römische Statuen in Venetia et Histria. Epigraphische Quellen (Heidelberg 1984) 145, Nr. 273.  CIL 05, 04868.	Imp(eratori) Caes(ari) divi / M(arci) Antonini Pii Germ(anici) / Sarm(atici) fil(io) divi Anton(ini) Pii / nep(oti) divi Hadr(iani) pronep(oti) di/vi Traian(i) Parthic(i) abnep(oti) / divi Nerv(ae) abnep(oti) L(ucio) Septimio / Severo Pio Pertinaci Aug(usto) Ara/bico Adiabenico pont(ifici) max(imo) / {D} trib(unicia) pot(estate) III imp(eratori) VII co(n)s(uli) II / p(atri) p(atriae) proco(n)s(uli) {design(ato)} / Benacenses	3	https://godot.date/id/2rhBeUsYWoivTxG6TvoxXe
HD022983	checked with photo	Pannonia inferior	Hungary	Aquincum	Budapest	Óbuda, {Lajos utca 167}	73 AD	AE 1939, 0263.  AE 1986, 0590.  AE 1969/70, 0477. (B)  AE 1993, 1307.  K. Kérdő - M. Németh, BR 30, 1993, 47-49; 2. kép; 3. kép (Zeichnung). - AE 1993.  TitAq 0001; Fig. a; Fig. b (Zeichnung).  M. Németh - K. Kérdő, in: Studien zu den Militärgrenzen Roms. 13.  Internationaler Limeskongreß, Aalen 1983. Vorträge 3 (Stuttgart 1986) 384-388; fig. 2; fig. 3 (Zeichnung). - AE 1986.  E. Tóth - T. Vékony, AArchHung 22, 1970, 133-143; Taf. 22; Abb. 1 u. 2 (Zeichnungen). (B) - AE 1969/70.  J. Szilágyi, in: Laureae Aquincenses memoriae Valentini Kuzsinszky dicatae 1 (Budapest 1938) 287-309; 1. t.; 2. kép.; 1.-3. kép. (Zeichnungen). (B) - AE 1939, AE 1969/70.  PIR V 50.	[Imp(eratori) Caesari Vespasiano Aug(usto) pontif(ici) maxim(o)] / [trib(unicia) pot(estate) IIII imp(eratori) X p(atri) p(atriae) co(n)s(uli) IIII desig(nato) V censori] / T(ito) Caesar[i Vespasiano imp(eratori) IIII pont]if(ici) [co(n)s(uli) II desig(nato) III] / Caesar[i Aug(usti) f(ilio) Domitiano co(n)s(uli) II p]rincip(i) [iuv]en[t(utis)] / C(aio) Calp[etano Rantio Quirinale] Val(erio) Festo leg(ato) / ala [prima Tungrorum] Frontoniana / L(ucio) M[---]ore praefecto	4	https://godot.date/id/quvqh8ng4eHvn68F944wci
HD023038	provisional	Mauretania Caesariensis	Algeria		Er-Rahel		137 AD	AE 1895, 0068.  CIL 08, 21663.  ILS 5963.  AE 1997, 1745.	Ex au[ctor]itate / Imp(eratoris) Caes(aris) divi Traiani Parthici [f(ilii)] / divi Nervae nepotis Traian[i] / Hardiani Aug(usti) p(atris) p(atriae) p(ontificis) m(aximi) tr(ibunicia) p(otestate) XX[I] / co(n)s(ulis) III proco(n)s(ulis) auspiciis L(uci) Aeli C[a]/[es(aris)] Imp(eratoris) {IMP} fil(ii) co(n)s(ulis) termini pos(iti) i[n]/ter Regienses et saltum Cu[---] / per C(aium) Petronium Celerem proc(uratorem) Au[g(usti)] / an(no) provin(ciae) LXXXXVIII	21	https://godot.date/id/nmLE5JURAmdjwHUMN93eST
HD023183	no image	Dacia	Romania		Gostavăţu	Slăveni, {Lager}	205 AD	AE 1896, 0062.  CIL 03, 13800.  IDR 2, 496.  G.G. Točilescu, AEM 19, 1896, 80, Nr. 7. - AE 1896.  C. Popescu, StCercIstorV 49, 1998, 259-263.	[I]m[p(erator) Caes(ar)] L(ucius) Sep[t(imius)] Sever[us Pius] Pe[rtinax] Aug(ustus) / [Ar]ab(icus) Ad[iab(enicus)] Parth(icus) max(imus) trib(unicia) pot(estate) XIII / [imp]erat[or XI] co(n)s(ul) III p(ater) p(atriae) et / [Imp(erator)] Caes(ar) M(arcus) [Aur(elius) A]nt[o]ni[n]us Pius Aug(ustus) co(n)s(ul) II / [p]ontif(ex) max(imus) [tr(ibunicia) pot(estate) V]IIII alae I Hispanor(um) / [a funda]m[enti]s(?) feceru[n]t	13	https://godot.date/id/E8dKhVZKpHNJSSxRk7P2nF
HD023186	checked with drawing	Dacia	Romania		Gostavăţu	Slăveni, {Lager}	205 AD	AE 1896, 0063.  CIL 03, 13801; Zeichnungen.  IDR 2, 497; Zeichnung.  PIR (2. Aufl.) M 582.  G.G. Točilescu, AEM 19, 1896, 81, Nr. 8; Zeichnung. - AE 1896.	I[mp(eratori) Caes(ari)] / [L(ucio) Se]ptim[io Severo Pio] / [Per]t(inaci) Au[g(usto) Arab(ico) Adiab(enico) Parth(ico) max(imo)] / [trib(unicia) p]ot(estate) [XIII imp(eratori)] / XI co(n)[s(uli) III p(atri) p(atriae) de]/dic(ante) Me[vio Suro leg(ato)] Au[g(usti) pr(o) pr(aetore)]	13	https://godot.date/id/E8dKhVZKpHNJSSxRk7P2nF
HD023215	checked with photo	Moesia superior	Bulgaria		Vidin	Peshakovo, bei	159 AD	AE 1935, 0069.  CIL 16, 00111.  G.I. Kacarov, BIAB 8, 1934, 62-65, Nr. 11; fig. 33. - AE 1935.  PIR (2. Aufl.) P 822.	Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Tra/iani Parth(ici) nep(os) divi Nervae pronep(os) / T(itus) Aelius Hadrianus Antoninus Aug(ustus) Pius / pont(ifex) max(imus) tr(ibunicia) pot(estate) XXIII imp(erator) II co(n)s(ul) IV p(ater) p(atriae) / equitib(us) et pedit(ibus) qui milit(averunt) in alis II quae / appel(lantur) I Claud(ia) nova miscel(lanea) et I Gallor(um) Fla/vian(a) et coh(ortibus) X V Gallor(um) et V Hispan(orum) et I / Montan(orum) et I Antioc(hensium) et I Cretum et III / campestr(is) et II Gallor(um) et III Britton(um) et / [I] Lusitan(orum) et I Pann(oniorum) et sunt in Moesia / [s]uper(iore) sub Pontio Sabino leg(ato) quin[q(ue)] / [et] vigint(i) stipend(iis) emerit(is) dim[is(sis) honest(a)] / [miss]ion(e) quor(um) nomin(a) sub[scr(ipta)] / [sunt c]ivitat(em) Roman(am) qui [eor(um) non] / [haber(ent) ded]it et conub(ium) [& // Imp(erator) Caes(ar) divi [Hadriani f(ilius) divi Traiani] / Parth(ici) n(epos) divi Nervae [pronep(os) T(itus) Aelius Ha]/drianus Antoni[nus Aug(ustus) Pius pont(ifex) max(imus)] / tr(ibunicia) pot(estate) XXIII im[p(erator) II co(n)s(ul) IV p(ater) p(atriae)] / equit(ibus) et ped(itibus) qui mil(itaverunt) in [alis II quae appel(lantur) I Claud(ia)] / nov(a) miscel(lanea) et I Gall(orum) Fla[vian(a) et coh(ortibus) X V Gallor(um) et V] / Hisp(anorum) et I Mont(anorum) et I Antioc(hensium) [et I Cretum et III campestr(is)] / et II Gall(orum) et III Britton(um) et [I Lusit(anorum) et I Pann(oniorum)] / et sunt in Moesia sup(eriore) [sub Pontio Sabi]/no leg(ato) XXV stip(endiis) emer(itis) di[missis honest(a) mission(e) quor(um)] / nom(ina) subscr(ipta) sunt ci[vit(atem) Roman(am) qui eor(um) non] / hab(erent) ded(it) et conub(ium) [cum uxorib(us) quas tunc] / habuis(sent) cum est [civit(as) is dat(a) aut cum is] / quas post(ea) duxi[ss(ent) &	23	https://godot.date/id/rvexubb7hBzTBf87S2BTNL
HD023619	checked with photo	Moesia inferior	Romania	Callatis	Mangalia		157 AD	AE 1928, 0193.  O. Tafareli, A&A 1, 1927, 39-40, 29. - AE 1928.  AE 1937, 0247.  IScM 3, 060; Foto.  PIR P 558.	[Imp(eratori) Caes(ari) T(ito) Aelio H]adriano Antonino Aug(usto) Pio pon/[tifici maximo tribu]nic(ia) potestat(e) XX imp(eratori) iterum co(n)[s(uli)] / [IIII p(atri) p(atriae) curante T(ito) Vitrasio P]o[l]lione leg(ato) pr(o) pr(aetore) Aug(usti) civitas Callat(ianorum) // [Αὐτοκράτορι Καίσαρι] Τίτῳ Αἰλίῳ Ἁδριανῷ Ἀντωνείνῳ Σεβ(αστῷ) / [Εὐσεβεῖ, ἀρχιερεῖ μεγίστῳ, δη]μαρχικῆς ἐξουσίας τὸ κ αὐτοκρ[ά]/[τορι τὸ δεύτερον, ὑπάτῳ] τὸ δ, π(ατρὶ) π(ατρίδος), προνοήσαντος [Τίτου Οὐι]/[τρασίου Πω]λλίωνος, [πρεσβευτοῦ καὶ ἀντιστρατήγου, ἡ πόλις] / [ἡ Καλλατιανῶν]	20	https://godot.date/id/sVFef4EgGaNjnwhwj2Bda
HD023825	provisional	Raetia	Germany		Kösching	Kirche, bei	80 AD	AE 1907, 0186.  AE 1907, 0187.  IBR 257; tab. 35, 257.	[Imp(eratori) Tito Caesari divi Vespasi]/[a]ni f(ilio) Vespasia[no Aug(usto) pontifici maximo] / trib(unicia) pot(estate) VIIII imp(eratori) [XV co(n)s(uli) VIII p(atri) p(atriae) censori et] / Caesare(!) divi Ves[pasiani f(ilio) Domitiano co(n)s(uli) VII] / collegioru[m omnium sacerdoti ---?] / [& // $] / [---? imp(eratori)] XV co(n)s(uli) VIII p(atri) p(atriae) censor[i] / [et Caesari divi V]espasiani f(ilio) [[Domi]]/[tiano co(n)s(uli) VII co]llegior(um) omnium / [sacerdoti pr]oc(urante) C(aio) Saturio / [&	9	https://godot.date/id/sLyAFvSedRpKEHCevN3y3E
HD024178	no image	Etruria (Regio VII)	Italy		Fabro, bei	Polvento	108 AD	AE 1926, 0112.  AE 1926, 0113. (B)  AE 1926, 0114. (B)  R. Bianchi Bandinelli, NSA 1925, 36-40; fig. 1 (Zeichnung). - AE 1926. (B)  AE 1969/70, 0185b-c.  W. Harris, PBSR 33, 1965, 123. - AE 1969/70.	Imp(erator) Caesar / divi Nervae f(ilius) / Nerva Traianus / Aug(ustus) Germ(anicus) Dacicus / pont(ifex) max(imus) trib(unicia) pot(estate) XII / [i]mp(erator) VI co(n)s(ul) V p(ater) p(atriae) / viam novam [Tra]ia[n(am)] / a Volsini(i)s ad fines / Clusinorum fecit / XVII // Ddd(omini) nnn(ostri) / Constantius et / Maximianus / Augg(usti) et / Diocletianus / et Maximianus / senn(iores) Augg(usti) et / [[Severus et]] / Maximinus / nobb(ilissimi) Caess(ares) {et} / mil(ia) XVII // B[o]no / generis / humani / creati / Impp(eratores) dd(omini) nn(ostri) / Cons[t]antini(!) / <et Licinius> / perpetui / semper / Aug(usti) / XVII	12	https://godot.date/id/LTNf5LhzPv6yE7JZ2jizJm
HD024268	provisional	Cyrene	Libyan Arab Jamahiriya	Cyrene	Shaḩḩāt		119 AD	AE 1929, 0009.  G. Oliverio, AJ 2, 1928/29, 118-120; fig. 8. - AE 1929.  AE 1939, p. 91 s. n. 305.  SEG 09, 0168.	[Imp(erator) Caesar divi Traiani Parthici fil(ius)] / [divi Nervae nepos Traianus Hadrianus] / [Aug(ustus) pontif(ex) max(imus) trib(unicia) pot(estate) III co(n)s(ul) III templum] / [restitui iussit Cy]renensiu[m civitati quod] / [tumultu iudaico di]rutum et e[xustum erat] // [αὐτοκράτω]ρ Καῖσ[αρ] / [θεοῦ Τραϊανοῦ Παρθικ]οῦ υἱός, θε[οῦ Νέρβα υἱ]/[ωνός Τραϊανὸς Ἀδριαν]ὸς Σεβαστ[ός, ἀρχιερε]/[ὺς μέγιστος δημαρ]χικῆς ἐξου[σίας τὸ γʹ] / [ὕπατος τὸ γʹ τῆι Κ]υρηναίων π[όλει τοῦ] / [ναοῦ ἐν τῶι ταράχωι Ἰ]ουδαϊκῶι κεκ[αυμένου] / [καὶ πεπορθημένου τὴ]ν ἀποκατάσ[τασιν προσέταξε]	3	https://godot.date/id/8mTao3GAfNBvocScnoHmNj
HD024282	checked with photo	Macedonia	Greece	Colonia Iulia Augusta Philippensium (= Philippi), bei	Kalambaki		112 AD	AE 1936, 0051.  P. Collart, BCH 59, 1935, 403-407, pl. 26, 1a u. b. - AE 1936.  AE 1993, 1401.  J.P. Adams, in: Ancient Macedonia V. Papers read at the Fifth International Symposium, Thessaloniki 1989 (Thessaloniki 1993) 33-37. - AE 1993.  P. Pilhofer, Philippi 2. Katalog der Inschriften von Philippi (Tübingen 2000) 406-409, Nr. 414.  P. Pilhofer, Philippi 2. Katalog der Inschriften von Philippi (2. Aufl. Tübingen 2009) 487-490, Nr. 414.	Imp(erator) Caes(ar) divi / Nervae f(ilius) Nerva / Traianus Aug(ustus) Germ(anicus) / Dac(icus) p(ontifex) m(aximus) trib(unicia) p(otestate) XVI imp(erator) VI / co(n)s(ul) VI p(ater) p(atriae) viam a Dyrrachi(o) / usque Acontisma per / provinciam Macedoniam / longa intermissione neglectam / restitue[nd]am curavit / a Dyr[r(achio) m(ilia)] p(assuum) / [CCCLXI ---]	16	https://godot.date/id/98NikVkPL7mBA5pVJBNXqK
HD024327	provisional	Mauretania Tingitana	Morocco	Banasa	Sidi Ali bou Djenoun		109 AD	AE 1936, 0070.  IAM 2, 235.  CIL 16, 00161.  AE 1951, 0270.  AE 1941, p. 35 s. n. 113.  AE 1937, p. 14 s. n. 25.  PIR (2. Aufl.) I 497.  PIR (2. Aufl.) A 21b.	[Im]p(erator) Caesar divi Nervae f(ilius) N[erva Traianus] / Augustus Germanicus Dac[icus pontifex ma]/ximus tribunic(ia) potest(ate) XIII [imp(erator) VI co(n)s(ul) V p(ater) p(atriae)] / equitibus et peditibus qui militaverunt in [alis] / duabus et cohortibus sex quae appellantur I / Hamiorum sagittariorum et III Asturum p(iae) f(idelis) c(ivium) R(omanorum) / et I Ituraeorum c(ivium) R(omanorum) et I Lemavorum c(ivium) R(omanorum) et II Hispa/norum c(ivium) R(omanorum) et II Hispana c(ivium) R(omanorum) et IIII Gallorum c(ivium) R(omanorum) et / V Delmatarum et sunt in Mauretania Tingi/tana sub M(arco) Clodio Catullo quinis et vicenis / pluribusve stipendiis emeritis dimissis / honesta missione quorum nomina sub/scripta sunt ipsis liberis posterisque / eorum civitatem dedit et conubium / cum uxoribus quas tunc habuissent / cum est civitas iis data aut si qui caeli/bes essent cum iis quas postea duxissent / dumtaxat singuli singulas pr(idie) Idus Oct(obres) / C(aio) Iulio Proculo / C(aio) Aburnio Valente co(n)s(ulibus) / alae I Hamiorum sagittarior(um) cui prae(e)st / C(aius) Maesius C(ai) f(ilius) Pal(atina) Tertius / ex gregale / Bargati Zaei f(ilio) Hamio / et Iuliae Iuli fil(iae) Deisatae ux(oris) eius Surae / et Zenae f(iliae) eius et Saturnino f(ilio) eius / descriptum et recognitum ex tabula / aenea quae fixa est Ro[m]ae in muro post / [te]mplum divi Aug(usti) ad Mi[n]ervam // [Imp(erator)] Caesar divi Nervae f(ilius) Nerva Traian(us) Aug(ustus) / Germanic(us) Dacic(us) pontif(ex) maxim(us) tribunic(ia) / potest(ate) XIII imp(erator) VI co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt in alis / duabus et cohortibus sex quae appellantur I / Hamiorum sagittariorum et III Asturum p(iae) f(idelis) c(ivium) R(omanorum) / et I Ituraeorum c(ivium) R(omanorum) et I Lemavorum c(ivium) R(omanorum) et II / Hispanorum c(ivium) R(omanorum) et II Hispana c(ivium) R(omanorum) et IIII / Gallorum c(ivium) R(omanorum) et V Delmatarum et sunt in Mau/[retan]ia Tingitana sub M(arco) Clodio Catullo qui/[nis et] vicenis pluribusve stipendiis emeri/[tis di]missis honesta missione quorum nomi/[na sub]scripta sunt ipsis liberis posterisque // eorum civi[t]atem d[edit et conubium cum uxo]/ribus quas tunc [habuissent cum est civitas iis data] / aut si qui caelib[es essent cum iis quas postea du]/xissent dumtaxat [singuli singulas] / pr(idie) Id[us Oct(obres)] / [C(aio) Iul]io P[roculo] / [C(aio) Abu]rnio V[alente co(n)s(ulibus)] / [alae I H]amio[rum sagittarior(um)] cui prae(e)[st] / [C(aius) Maesius C(ai) f(ilius)] Pal(atina) Tert[ius] // [P(ubli) At]ini Amerim[ni] / [C(ai) I]ul[i Pa]rat[i] / C(ai) Tutican[i Saturnini] / M(arci) Iuli [Clementis]	13	https://godot.date/id/of9fpiJ29BxYJqajypoCWj
HD024920	checked with photo	Roma	Italy	Roma	Roma	Forum Romanum, Dioskuren-Tempel	6 AD	CIL 06, 40339; fig. α-ζ; fig. η (Zeichnung) CIL 06, 30304.  CIL 06, 39188, 1.  CIL 06, 30303.  CIL 06, 30306.  CIL 06, 39188, 2.  CIL 06, 39188, 3.  AE 1992, 0159.	[Ti(berius)] C[aesar Augusti f(ilius) Divi n(epos) Claudianus] / [co(n)]s(ul) [iter(um) imp(erator) ter tribunic(ia) pot(estate) VII pontif(ex)] // [Nero Claudius Ti(beri) f(ilius) Drusus Germa]ni[cus] / [Augusti privignus co(n)s(ul) i]mp(erator) [iter(um)] au[gur] // [aedem Pollucis e]t C[asto]r[is incendio consumptam de manubiis r]ef(ecerunt)	7	https://godot.date/id/292QnoXVkSPkgurmQHMDhN
HD024968	no image	Roma	Italy	Roma	Roma		37 AD	CIL 06, 40370.  CIL 06, 00885.  ILS 0164.	Ossa / Ti(beri) Caesaris divi Aug(usti) f(ili) / Augusti / pontificis maximi / trib(unicia) pot(estate) XXXIIX imp(eratoris) VIII co(n)s(ulis) V	38	https://godot.date/id/2NpDTgEiDKNMN5mCHgX5i6
HD024969	checked with photo	Moesia superior	Serbia		Petrovac na Mlavi	Ranovac; Bele vode	109 AD	AE 1991, 1331.  AE 1990, 0860. (B)  AE 1987, 0854. (B)  K. Wachtel, Klio 72, 1990, 473-477. - AE 1991.  J. Garbsch, BVBl 54, 1989, 137-151; Taf. 10 u. 11; Abb. 1 u. 2 (Zeichnungen). (B) - AE 1990.  M. Mirković - M. Vasić, ZPE 64, 1987, 189-194; Taf. 11. (B) - AE 1987.  PIR T 68.  PIR (2. Aufl.) I 497.  PIR (2. Aufl.) A 21b.  RMD 148.	Imp(erator) Caesar divi Nervae f(ilius) Nerva Trai/anus Aug(ustus) Germ(anicus) Dacicus pontif(ex) maxim(us) / tribunic(ia) potestat(e) XIII imp(erator) VI co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt / in alis tribus et cohortibus decem et sex / quae appellantur I c(ivium) R(omanorum) et II Flavia Comma/genor(um) sagittaria et II Pannonior(um) vetera/na et I Brittonum |(miliaria) Ulpia torquata c(ivium) R(omanorum) et / {et} I Britannica |(miliaria) c(ivium) R(omanorum) et I Ituraeor(um) et I Thra/cum c(ivium) R(omanorum) et I Aug(usta) Ituraeor(um) et I Vindelicor(um) c(ivium) R(omanorum) / p(ia) f(idelis) et I Pannonior(um) veterana et I Montanor(um) / et II Gallor(um) Pannonica et II Hispanor(um) et II / Britannor(um) |(miliaria) c(ivium) R(omanorum) p(ia) f(idelis) et II Gallor(um) Macedonica / et III Campestris c(ivium) R(omanorum) et IIII Cypria c(ivium) R(omanorum) et V / Gallor(um) et VIII Raetorum et sunt in Dacia / sub D(ecimo) Terentio Scauriano quinis et vicenis / pluribusve stipendiis emeritis dimissis / honesta missione a Iulio Sabino quorum / nomina subscripta sunt ipsis liberis poste/risque eorum civitatem dedit et conubium / cum uxoribus quas tunc habuissent cum / est civitas iis data aut si qui caelibes essent / cum iis quas postea duxissent dumtaxat / singuli singulas pr(idie) Idus Oct(obres) / C(aio) Iulio Proculo / C(aio) Aburnio Valente co(n)s(ulibus) / coh(ortis) I Montanor(um) cui prae(e)st / Cornelius Felicior / ex pedite / M(arco) Herennio M(arci) f(ilio) Polymitae Berens(i?) / et Ianuario f(ilio) eius et Marcello f(ilio) eius / et Lucanae fil(iae) eius / <de>scriptum et recognitum ex tabula aene/a quae fixa est Romae in muro post tem/plum divi Aug(usti) ad Minervam // Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus / Aug(ustus) Germ(anicus) Dacicus pontif(ex) max(imus) tribunic(ia) po/testat(e) XIII imp(erator) VI co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt in / alis tribus et cohortibus decem et sex / quae appellantur I c(ivium) R(omanorum) et I Flavia Comma/genor(um) sagittaria et II Pannonior(um) vetera/na et I Brittonum |(miliaria) Ulpia torquata c(ivium) R(omanorum) / et I Britannica |(miliaria) c(ivium) R(omanorum) et I Ituraeor(um) et I Thra/cum c(ivium) R(omanorum) et I Aug(usta) Ituraeor(um) et I Vindelicor(um) / c(ivium) R(omanorum) p(ia) f(idelis) et I Pannonior(um) veterana et I Mon/tanor(um) et II Gallor(um) Pannonica et II Hispa/nor(um) et II Britannor(um) |(miliaria) c(ivium) R(omanorum) p(ia) f(idelis) et II Gallo/rum Macedonica et III Campestris c(ivium) R(omanorum) et / IIII Cypria c(ivium) R(omanorum) et V Gallorum et VIII Rae/torum et sunt in Dacia sub D(ecimo) Terentio / Scauriano quinis et vicenis pluribus/ve stipendiis emeritis dimissis hones/ta missione a Iulio Sabino quorum // nomina subscripta sunt ipsis libe/ris posterisque eorum civitatem dedit / et conubium cum uxoribus quas tunc ha/buissent cum est civitas iis data aut si qu[i] / caelibes essent cum iis quas postea du/xissent dumtaxat singuli singulas / pr(idie) Idus Oct(obres) / C(aio) Iulio Proculo / C(aio) Aburnio Valente co(n)s(ulibus) / coh(ortis) I Montanor(um) cui prae(e)st / Cornelius Felicior / ex pedite / M(arco) Herennio M(arci) f(ilio) Polymitae Berens(i?) / et Ianuario et Marcello f(iliis) eiu[s] / et Lucanae fil(iae) eius / descriptum et recognitum ex tabul[a] / aenea quae fixa est Romae // Ti(beri) Iuli Urbani / P(ubli) Corneli Alexandri / L(uci) Pulli Verecundi / P(ubli) Atini Amerimni / C(ai) Iuli Parati / C(ai) Tuticani Saturnini / M(arci) Iuli Clementis	13	https://godot.date/id/of9fpiJ29BxYJqajypoCWj
HD025111	checked with photo	Dalmatia	Croatia	Oneum	Omiš		33 AD	AE 1922, 0040.  ILJug 1988.  F. Bulić, BAHD 37, 1914, 104-105; Foto. - AE 1922.	[Imperatori Ti(berio) Cae]sari div[i] / [Aug(usti)] f(ilio) Divi Iuli [nep(oti)] / [Augu]sto ponti[fici] / [max(imo)] co(n)s(uli) V imp(eratori) VI[II] / [trib(unicia)] pot(estate) XXXV au[guri] / [XVvir]o sacris fa[ciundis] / [VIIviro] epu[lonum] / [&	35	https://godot.date/id/coHUhN3C5ELERwWfZDo3UW
HD025436	checked with photo	Roma	Italy	Roma	Roma	Mausoleum Augusti	79 AD	CIL 06, 40375; Foto.	[Imp(eratori) Caesari] / [Vespasiano] / [Augusto] / [pont(ifici) max(imo) trib(unicia)] / potest[ate X] / imp(eratori) XX c[o(n)s(uli) VIIII] / p(atri) p(atriae) cen[sori]	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
HD025484	no image	Roma	Italy	Roma	Roma	Forum Romanum, Basilica Iulia	46 AD	CIL 06, 40413.  CIL 06, 00917.	[Pro s]alute re[ditu] / [vi]ctoria / [Ti(beri) Cl]audi Caesari[s] / [Aug(usti)] Germanici / [pont(ificis)] max(imi) tr(ibunicia) pot(estate) VI / [co(n)s(ulis) III] co(n)s(ulis) desig(nati) IIII / [p(atris) p(atriae) e]x voto susc(epto) / [---]turia Q(uinti) f(ilia) / [ex a]uri p(ondo) [---]	6	https://godot.date/id/aHXHhx2AWzMRCV8DrfeEZG
HD025499	checked with photo	Roma	Italy	Roma	Roma	Via dell'Impresa / Vicolo dello Sdrucciolo, Ecke	22 AD	CIL 06, 40420; Foto.	[---? Ti(berius) Caesar Augustus] / [divi Augusti f(ilius) Divi I]uli n[epos pont(ifex) max(imus)] / [co(n)s(ul) IIII imp(erator) VIII trib(unicia) pot(estate) XXIII fa]ciund(um) [cur(avit)] / [D(ecimo) Haterio Agrippa C(aio) Sulpicio] Galba / [co(n)s(ulibus)]	23	https://godot.date/id/odHNHeKY8ruFdrvFQDGAQP
HD025538	checked with photo	Roma	Italy	Roma	Roma	Marcellus-Theater?, bei	74 AD	CIL 06, 40447; Foto.	[Imp(eratori) Caesari Vespa]si[ano Aug(usto)] / [pont(ifici) max(imo) trib(unicia) pot(estate) V imp(eratori) X]III pa[tri patriae] / [co(n)s(uli) V designato] VI [censori] / [---]RMA[---]	5	https://godot.date/id/RX2GYvf4ThgMQnqiLenW7F
